country_region,date,confirmed,deaths,recovered,active,admin2
Liberia,2021-03-05,2023,85,1884,54,
Liberia,2020-04-19,91,8,7,76,
Liberia,2021-03-22,2042,85,1899,58,
Liberia,2021-10-18,5807,286,,,
Liberia,2020-06-19,581,33,250,298,
Liberia,2022-10-02,7961,294,,,
Liberia,2020-10-18,1377,82,1268,27,
Liberia,2022-05-20,7455,294,,,
Liberia,2021-12-17,5844,287,,,
Liberia,2022-09-27,7961,294,,,
Liberia,2022-08-19,7656,294,,,
Liberia,2021-04-13,2042,85,1899,58,
Liberia,2021-01-17,1887,84,1701,102,
Liberia,2020-05-14,215,20,105,90,
Liberia,2020-11-07,1442,82,1310,50,
Liberia,2020-07-14,1024,51,439,534,
Liberia,2022-05-14,7451,294,,,
Liberia,2022-03-15,7397,294,,,
Liberia,2021-11-16,5818,287,,,
Liberia,2022-05-18,7452,294,,,
Liberia,2022-03-26,7397,294,,,
Liberia,2021-05-03,2110,85,1952,73,
Liberia,2022-07-18,7504,294,,,
Liberia,2020-12-18,1779,83,1406,290,
Liberia,2022-10-22,7988,294,,,
Liberia,2021-07-03,4520,133,2411,1976,
Liberia,2020-12-21,1779,83,1406,290,
Liberia,2022-01-26,7243,289,,,
Liberia,2021-01-11,1779,83,1406,290,
Liberia,2021-08-28,5538,245,,,
Liberia,2020-11-03,1436,82,1294,60,
Liberia,2022-04-08,7400,294,,,
Liberia,2022-08-28,7732,294,,,
Liberia,2022-01-11,7054,287,,,
Liberia,2020-06-28,768,34,298,436,
Liberia,2022-11-16,8014,294,,,
Liberia,2022-03-11,7392,294,,,
Liberia,2020-06-05,334,30,176,128,
Liberia,2021-12-26,5929,287,,,
Liberia,2021-02-05,1956,84,1770,102,
Liberia,2022-09-22,7961,294,,,
Liberia,2021-05-31,2191,86,2040,65,
Liberia,2021-11-04,5815,287,,,
Liberia,2021-01-26,1932,84,1733,115,
Liberia,2021-04-21,2091,85,1936,70,
Liberia,2022-07-06,7500,294,,,
Liberia,2020-05-23,255,26,136,93,
Liberia,2022-09-06,7898,294,,,
Liberia,2020-03-28,3,0,0,3,
Liberia,2021-12-11,5835,287,,,
Liberia,2020-09-21,1336,82,1218,36,
Liberia,2020-06-15,498,33,221,244,
Liberia,2021-06-24,3265,110,2222,933,
Liberia,2020-06-18,542,33,250,259,
Liberia,2022-08-13,7578,294,,,
Liberia,2021-09-07,5727,245,,,
Liberia,2022-07-03,7497,294,,,
Liberia,2022-09-26,7961,294,,,
Liberia,2020-03-23,3,0,0,3,
Liberia,2021-03-03,2017,85,1884,48,
Liberia,2021-08-01,5396,148,2715,2533,
Liberia,2020-11-18,1528,82,1328,118,
Liberia,2021-06-01,2210,86,2043,81,
Liberia,2022-06-08,7456,294,,,
Liberia,2020-08-13,1252,82,738,432,
Liberia,2021-10-06,5799,286,,,
Liberia,2021-06-28,3794,123,2274,1397,
Liberia,2021-04-28,2099,85,1949,65,
Liberia,2020-07-13,1024,51,439,534,
Liberia,2020-04-28,141,16,45,80,
Liberia,2021-09-26,5792,283,,,
Liberia,2020-09-28,1342,82,1221,39,
Liberia,2020-05-28,269,27,144,98,
Liberia,2022-06-28,7493,294,,,
Liberia,2022-08-01,7538,294,,,
Liberia,2022-05-11,7434,294,,,
Liberia,2020-08-28,1298,82,832,384,
Liberia,2020-11-28,1595,83,1343,169,
Liberia,2020-08-23,1286,82,816,388,
Liberia,2020-07-23,1117,71,613,433,
Liberia,2022-09-18,7929,294,,,
Liberia,2022-10-06,7974,294,,,
Liberia,2021-10-26,5812,287,,,
Liberia,2022-02-01,7272,290,,,
Liberia,2020-12-28,1779,83,1406,290,
Liberia,2021-02-21,1988,85,1856,47,
Liberia,2020-12-11,1676,83,1358,235,
Liberia,2020-04-23,101,8,20,73,
Liberia,2022-11-27,8014,294,,,
Liberia,2022-01-06,6851,287,,,
Liberia,2022-10-10,7974,294,,,
Liberia,2020-10-23,1393,82,1278,33,
Liberia,2020-11-23,1551,82,1331,138,
Liberia,2020-08-18,1282,82,803,397,
Liberia,2021-12-29,6278,287,,,
Liberia,2021-05-07,2114,85,1962,67,
Liberia,2021-02-24,2002,85,1883,34,
Liberia,2021-07-23,5396,148,2715,2533,
Liberia,2021-01-19,1898,84,1707,107,
Liberia,2020-09-16,1332,82,1214,36,
Liberia,2020-12-10,1676,83,1358,235,
Liberia,2022-06-02,7456,294,,,
Liberia,2020-12-16,1773,83,1406,284,
Liberia,2022-07-10,7500,294,,,
